deviceUid,appName,deviceSerialNumber,installPath,installDateTimeUtc,osName,major,minor,appId,appPublisher,appVersion,firstDetectDateTimeUtc,lastScanDateTimeUtc
78e4afff-7f7c-4247-82f4-f5907b416cce,TightVNC,5CD42275M3,c:\program files\tightvnc,2024-07-30T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-07-30T23:30:05.819Z,2024-12-17T14:01:03.1Z
7a6b9630-b6a6-4dc2-afd0-df7d4d9e00c4,TightVNC,5CD410J5TW,c:\program files\tightvnc,2024-07-31T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-10-01T19:19:08.335Z,2024-12-20T14:47:03.262Z
999683aa-2c76-4e2d-a420-3132a34c2899,TightVNC,5CD401CJQC,c:\program files\tightvnc,2024-06-12T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-07-04T22:43:35.34Z,2024-12-20T01:49:00.485Z
b2e40dca-8807-4974-bace-9b57562ab287,TightVNC,5CD43928VH,c:\program files\tightvnc,2024-12-20T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-12-20T18:27:32.197Z,2024-12-20T19:45:44.888Z
b603072d-6761-4f1c-9488-b82c674211cf,TightVNC,5CD401CJNS,c:\program files\tightvnc,2024-06-12T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-07-04T22:50:49.767Z,2024-12-20T16:52:59.404Z
ba8f3c74-94bb-4a85-9aaa-4f5ce8bc8da4,TightVNC,5CG41003KL,c:\program files\tightvnc,2024-09-16T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-09-16T16:19:27.686Z,2024-12-20T13:13:39.194Z
bd25d1f3-1214-4857-8aad-ef86da17a03b,TightVNC,4CE336D4X4,c:\program files\tightvnc,2024-10-09T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-10-09T13:30:34.809Z,2024-12-20T20:04:47.321Z
c0d7185a-3ef5-4c82-96e9-fb16b1445901,TightVNC,5CD401CJQP,c:\program files\tightvnc,2024-06-17T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-07-05T14:40:26.492Z,2024-12-20T16:08:00.572Z
ceaa71f9-8742-4da4-ba77-9952aeaf13a1,TightVNC,4CE336D59Q,c:\program files\tightvnc,2024-08-29T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-10-01T13:11:06.502Z,2024-12-20T15:43:56.19Z
fb098bd0-574c-45e8-a291-037b68da1238,TightVNC,5CD401CJNX,c:\program files\tightvnc,2024-09-11T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-10-01T15:42:45.78Z,2024-12-20T14:37:00.344Z
