deviceUid,serialNumber,systemManufacturer,systemModel,username,lastUpdatedDateTimeUtc,platformOSType,deviceName,domain,localIp,cpu,bios,latitude,longitude,antivirus,RAMDisponible,RAM,Disco
a517e669-2a03-4ce3-8a4e-f09c9010023f,5CG41003KQ,Hewlett-Packard,HP ELITE X360 1040 14 INCH G10 2-IN-1 NOTEBOOK PC,ARUNTNET\edgardo.orderique,2024-12-20T18:08:25.063Z,Windows,LAP-QOR-RENT-11,aruntnet.local,172.16.70.53,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V70 Ver. 01.07.00 ,-12.1056778,-77.0223804,Sophos Endpoint Agent 2024.2.4.1.0,4692.31640625,16 GB,1 TB
24c34d58-6176-45fc-a89d-c11deab8a09a,5CG41003KR,Hewlett-Packard,HP ELITE X360 1040 14 INCH G10 2-IN-1 NOTEBOOK PC,ARUNTNET\carlos.rojas,2024-12-20T11:06:36.343Z,Windows,LAP-QOR-RENT-23,aruntnet.local,192.168.1.13,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V70 Ver. 01.07.00 ,-12.2190848,-76.9945195,Sophos Endpoint Agent 2024.2.4.1.0,11073.46875,16 GB,1 TB
7b93fb60-334a-4161-b8d0-99501a89c5d5,5CD401CJQN,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\jortega,2024-12-20T18:45:56.111Z,Windows,MDH5CD401CJQN-A,aruntnet.local,172.16.25.177,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.0213951,-76.9614109,Sophos Endpoint Agent 2024.2.4.1.0,6248.80859375,16 GB,512 GB
495937cf-efe5-482c-89a6-9c558f359aeb,5CD401CJQ3,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\enrique.calderon,2024-12-20T18:48:01.820Z,Windows,MUR-L-CC-HP4,aruntnet.local,172.16.7.121,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.043333053588867,-77.02833557128906,Sophos Endpoint Agent 2024.2.4.1.0,6548.01171875,16 GB,512 GB
7a77153a-026b-4836-bef2-609718f78f5f,5CD401CJQ9,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\jose.martinez,2024-12-20T13:36:41.000Z,Windows,MDH5CD401CJQ9-A,aruntnet.local,172.20.10.6,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-14.01082992553711,-75.73583221435547,Sophos Endpoint Agent 2024.2.4.1.0,3326.765625,16 GB,512 GB
48e9fd26-95dc-428b-9ffc-966acf6d0688,5CD401CJR6,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\karla.ollachica,2024-12-20T13:38:25.842Z,Windows,MDH5CD401CJR6-A,aruntnet.local,172.16.25.224,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.0213969,-76.9614094,Sophos Endpoint Agent 2024.2.4.1.0,4208.1796875,16 GB,512 GB
09d3c377-8810-4daa-b715-0a4fba50e631,5CG41003KV,Hewlett-Packard,HP ELITE X360 1040 14 INCH G10 2-IN-1 NOTEBOOK PC,ARUNTNET\rmorales,2024-12-20T17:30:59.601Z,Windows,LAP-QOR-RENT-10,aruntnet.local,172.16.70.159,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V70 Ver. 01.06.03 ,-12.1057169,-77.0222638,Sophos Endpoint Agent 2024.2.4.1.0,6770.21484375,16 GB,1 TB
1d33c2a0-b703-4f8c-a9aa-622c64b420aa,4CE336D5BW,Hewlett-Packard,HP PRO SFF 400 G9 DESKTOP PC,CEMPROTECH\fespinoza,2024-12-20T18:38:00.401Z,Windows,NB-CEM013,cemprotech.com.pe,172.16.11.72,12th Gen Intel(R) Core(TM) i7-12700,HPQOEM - 0 U03 Ver. 02.15.20 ,-12.3001802,-76.8337633,Sophos Endpoint Agent 2024.2.4.1.0,6513.30078125,16 GB,512 GB
d11d7df4-1a2a-4e7f-b025-3481fd2b84d6,5CD401CJPF,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\apasco,2024-12-20T18:17:02.836Z,Windows,MDH5CD401CJPF-A,aruntnet.local,172.16.24.153,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.0213724,-76.9615133,Sophos Endpoint Agent 2024.2.4.1.0,1786.38671875,16 GB,512 GB
26a21070-ccea-4446-98af-46e8bb69709e,5CD401CJPL,Hewlett-Packard,HP PROBOOK 450 15.6 INCH G10 NOTEBOOK PC,ARUNTNET\elmer.gonzales,2024-12-20T14:29:31.394Z,Windows,MDH5CD401CJPL-A,aruntnet.local,172.16.25.134,13th Gen Intel(R) Core(TM) i7-1355U,HPQOEM - 0 V72 Ver. 01.06.03 ,-12.0213784,-76.9615112,Sophos Endpoint Agent 2024.2.4.1.0,6339.79296875,16 GB,512 GB
